revenue,director
1283868.0,247.0
354577.0,1725.0
277600.0,1136.0
594874.0,1448.0
390098.0,742.0
780238.0,510.0
1011653.0,1200.0
837300.0,587.0
89313.0,782.0
266980.0,613.0
40810.0,1313.0
64650.0,1608.0
72411.0,899.0
99592.0,1785.0
1924377.0,602.0
350683.0,1200.0
113675.0,83.0
38112.0,1448.0
834795.0,632.0
99444.0,603.0
560.0,9.0
3945455.0,1896.0
480089.0,510.0
228020.0,308.0
408882.0,1617.0
57133.0,1341.0
181447.0,1450.0
322627.0,1592.0
194870.0,83.0
638973.0,206.0
80731.0,1442.0
254331.0,1998.0
141363.0,1200.0
138833.0,1670.0
236615.0,613.0
50045.0,1785.0
53701.0,1636.0
56630.0,489.0
9743.0,301.0
592376.0,258.0
662301.0,1849.0
3590848.0,1703.0
665419.0,1448.0
1366682.0,332.0
578479.0,779.0
360496.0,301.0
329316.0,1442.0
708699.0,1608.0
501552.0,429.0
768417.0,587.0
496316.0,112.0
232247.0,510.0
194560.0,1592.0
33804.0,602.0
113040.0,1186.0
33478.0,1496.0
451.0,1249.0
51188.0,1356.0
1782207.0,1878.0
4067604.0,1703.0
189182.0,1896.0
821833.0,560.0
519159.0,613.0
20881.0,342.0
169420.0,1442.0
185581.0,1200.0
464523.0,1136.0
440148.0,603.0
45378.0,83.0
100346.0,1186.0
63165.0,1313.0
192579.0,632.0
86960.0,729.0
201279.0,587.0
82034.0,1785.0
7712.0,1785.0
2081565.0,332.0
3905089.0,1703.0
99206.0,83.0
1169193.0,206.0
255994.0,325.0
1804827.0,587.0
69940.0,1313.0
326245.0,1617.0
75584.0,112.0
142934.0,1186.0
37418.0,899.0
9606.0,1021.0
1216066.0,1448.0
1050893.0,1450.0
1145200.0,1670.0
623099.0,510.0
522919.0,1896.0
440929.0,779.0
149917.0,83.0
2288201.0,83.0
318336.0,1313.0
185041.0,560.0
177713.0,1186.0
79326.0,429.0
69781.0,258.0
75952.0,177.0
111257.0,1356.0
16111.0,843.0
527540.0,602.0
1030783.0,332.0
548301.0,1136.0
459203.0,560.0
396048.0,1608.0
220680.0,338.0
399104.0,779.0
151911.0,325.0
28329.0,258.0
42231.0,742.0
155500.0,1785.0
1994515.0,779.0
109151.0,1186.0
