revenue,imdb_rating,wiki_sv,wiki_en,production_budget,sf_rating
2099748.0,7.3,429.0,0,160000000.0,3.54
1732438.0,7.7,146.0,110428.0,200000000.0,3.19
1365779.0,7.5,268.0,85493.0,175000000.0,3.11
1283868.0,7.9,253.0,133789.0,180000000.0,3.13
1205843.0,8.1,8.0,2871.0,97000000.0,3.62
2017790.0,6.7,1247.0,248525.0,250000000.0,2.33
1345430.0,8.5,21.0,499.0,0,3.82
354577.0,7.7,4.0,534.0,4500000.0,4.14
530026.0,6.3,1.0,24644.0,0,2.79
1282219.0,6.6,671.0,90915.0,230000000.0,2.39
1253655.0,6.8,164.0,6122.0,0,2.86
277600.0,7.3,104.0,2815.0,9000000.0,2.74
594874.0,5.2,139.0,217560.0,217000000.0,1.88
77126.0,8.0,0,286.0,0,3.03
160036.0,6.3,0,2411.0,19000000.0,2.67
1622542.0,4.6,0,47949.0,55000000.0,1.71
553951.0,7.8,0,84871.0,84000000.0,2.92
390098.0,7.7,0,26182.0,34000000.0,4.1
154515.0,6.0,0,12242.0,69000000.0,1.64
780238.0,6.6,325.0,12.0,55000000.0,2.47
247168.0,6.0,0,21456.0,45000000.0,1.78
132975.0,7.5,50.0,396.0,0,2.6
1011653.0,8.1,677.0,108136.0,150000000.0,3.64
506841.0,3.1,0,27383.0,50000000.0,1.17
46275.0,6.0,0,0,100000000.0,2.1
455080.0,5.5,187.0,41.0,125000000.0,1.57
837300.0,6.5,7.0,102572.0,97000000.0,2.74
354371.0,5.6,121.0,11095.0,69000000.0,1.59
370543.0,7.2,0,210.0,50000000.0,2.85
261819.0,5.7,7.0,467.0,60000000.0,1.88
338443.0,6.0,0,158.0,150000000.0,2.21
513170.0,5.9,41.0,7838.0,60000000.0,2.17
467523.0,5.2,0,0,85000000.0,3.18
44856.0,7.6,0,8409.0,0,3.44
433096.0,6.5,247.0,33965.0,177200000.0,2.0
192427.0,7.4,274.0,151.0,0,3.29
369235.0,6.4,224.0,0,110000000.0,2.63
89313.0,7.6,0,98.0,0,4.15
150796.0,6.2,0,27431.0,33000000.0,3.31
278789.0,8.2,350.0,41593.0,0,4.1
266980.0,7.5,493.0,394.0,0,3.62
45118.0,5.8,0,21451.0,35000000.0,1.57
290559.0,6.6,0,0,58000000.0,3.65
142936.0,4.5,1.0,618.0,25000000.0,1.56
40810.0,7.1,0,16037.0,29000000.0,2.96
126457.0,5.6,0,41795.0,40000000.0,1.92
166777.0,5.7,399.0,186.0,68000000.0,2.96
102586.0,6.8,0,914.0,0,2.77
65036.0,5.2,77.0,22621.0,20000000.0,2.35
9820.0,5.6,0,84.0,0,1.75
64650.0,6.7,0,1.0,30000000.0,1.97
24339.0,7.1,0,3000.0,0,2.52
6710.0,7.2,8.0,6204.0,0,3.04
129724.0,6.4,0,51738.0,40000000.0,2.83
369063.0,5.1,1.0,865.0,35000000.0,2.53
72411.0,7.7,654.0,15423.0,0,4.28
63809.0,6.8,113.0,2973.0,0,2.65
11122.0,6.2,0,352.0,1000000.0,2.95
