revenue,writer
1365779.0,1935.0
354577.0,1725.0
277600.0,1136.0
390098.0,742.0
89313.0,782.0
266980.0,613.0
64650.0,1608.0
72411.0,899.0
395161.0,674.0
429056.0,621.0
390813.0,1944.0
99444.0,487.0
102134.0,1104.0
3945455.0,1896.0
1617783.0,1556.0
547623.0,742.0
544666.0,223.0
57133.0,68.0
181447.0,1450.0
322627.0,1592.0
145540.0,1764.0
638973.0,206.0
63677.0,83.0
254331.0,1998.0
141363.0,1728.0
138833.0,1670.0
236615.0,613.0
50045.0,1930.0
6869.0,1553.0
46121.0,1273.0
9743.0,301.0
1366682.0,332.0
708699.0,1608.0
501552.0,429.0
496316.0,112.0
194560.0,1592.0
205044.0,338.0
199162.0,1160.0
33804.0,602.0
113040.0,1186.0
33478.0,1496.0
451.0,1249.0
51188.0,1356.0
1782207.0,1150.0
242535.0,223.0
175228.0,436.0
350814.0,1935.0
519159.0,613.0
20881.0,342.0
464523.0,1136.0
148318.0,1400.0
100346.0,1186.0
86960.0,729.0
82034.0,1930.0
31731.0,782.0
2081565.0,332.0
1169193.0,206.0
124655.0,1944.0
366471.0,338.0
549699.0,1104.0
75584.0,112.0
90941.0,372.0
141406.0,342.0
142934.0,1186.0
37418.0,899.0
13108.0,122.0
9606.0,1021.0
381072.0,482.0
522919.0,1896.0
136641.0,1935.0
365227.0,342.0
16790.0,1930.0
41770.0,223.0
177713.0,1186.0
79326.0,429.0
75952.0,177.0
67220.0,69.0
111257.0,1356.0
999.0,223.0
16111.0,843.0
527540.0,964.0
1030783.0,332.0
245176.0,223.0
548301.0,1136.0
220680.0,338.0
399104.0,1930.0
151911.0,325.0
6287.0,1160.0
93767.0,1136.0
42231.0,742.0
34273.0,333.0
155500.0,1785.0
17408.0,275.0
109151.0,1186.0
