revenue,imdb_rating,wiki_sv,wiki_en,production_budget,sf_rating,mpaa_rating,director,writer,actor,seasonal_index
5992286.0,7.4,991.0,287758.0,0,0,3,0,0,346.0,2.194908423
2099748.0,7.3,429.0,0,160000000.0,3.54,2,0,0,114.0,0.7147995517
1732438.0,7.7,146.0,110428.0,200000000.0,3.19,3,0,0,177.0,0.6549129108
1365779.0,7.5,268.0,85493.0,175000000.0,3.11,3,0,1935.0,439.0,1.040695421
1283868.0,7.9,253.0,133789.0,180000000.0,3.13,3,247.0,0,128.0,1.284840139
1601982.0,6.3,309.0,32483.0,80000000.0,0,2,0,0,594.0,0.7194038481
1205843.0,8.1,8.0,2871.0,97000000.0,3.62,4,0,0,99.0,0.7147995517
2017790.0,6.7,1247.0,248525.0,250000000.0,2.33,3,0,0,188.0,0.6549129108
1345430.0,8.5,21.0,499.0,0,3.82,2,0,0,1402.0,0.996680935
354577.0,7.7,4.0,534.0,4500000.0,4.14,4,1725.0,1725.0,895.0,0.6549129108
530026.0,6.3,1.0,24644.0,0,2.79,2,0,0,1374.0,0.6549129108
1282219.0,6.6,671.0,90915.0,230000000.0,2.39,3,0,0,853.0,0.6532841
1253655.0,6.8,164.0,6122.0,0,2.86,1,0,0,929.0,0.9029712391
277600.0,7.3,104.0,2815.0,9000000.0,2.74,3,1136.0,1136.0,98.0,0.9241723657
594874.0,5.2,139.0,217560.0,217000000.0,1.88,3,1448.0,0,634.0,0.7194038481
77126.0,8.0,0,286.0,0,3.03,2,0,0,936.0,0.996680935
160036.0,6.3,0,2411.0,19000000.0,2.67,4,0,0,1383.0,0.9029712391
1622542.0,4.6,0,47949.0,55000000.0,1.71,4,0,0,354.0,0.996680935
553951.0,7.8,0,84871.0,84000000.0,2.92,2,0,0,66.0,2.194908423
390098.0,7.7,0,26182.0,34000000.0,4.1,4,742.0,742.0,535.0,1.040695421
154515.0,6.0,0,12242.0,69000000.0,1.64,3,0,0,385.0,0.9732969783
780238.0,6.6,325.0,12.0,55000000.0,2.47,3,510.0,0,702.0,0.9732969783
247168.0,6.0,0,21456.0,45000000.0,1.78,3,0,0,853.0,0.9241723657
132975.0,7.5,50.0,396.0,0,2.6,4,0,0,708.0,0.996680935
1011653.0,8.1,677.0,108136.0,150000000.0,3.64,4,1200.0,0,265.0,1.284840139
506841.0,3.1,0,27383.0,50000000.0,1.17,2,0,0,809.0,0.9400340884
46275.0,6.0,0,0,100000000.0,2.1,3,0,0,726.0,0.6549129108
455080.0,5.5,187.0,41.0,125000000.0,1.57,3,0,0,140.0,0.7194038481
837300.0,6.5,7.0,102572.0,97000000.0,2.74,4,587.0,0,283.0,0.6532841
354371.0,5.6,121.0,11095.0,69000000.0,1.59,4,0,0,40.0,0.7194038481
169670.0,6.5,0,55798.0,4800000.0,0,3,0,0,649.0,1.284840139
370543.0,7.2,0,210.0,50000000.0,2.85,4,0,0,163.0,0.9400340884
261819.0,5.7,7.0,467.0,60000000.0,1.88,3,0,0,197.0,0.9400340884
338443.0,6.0,0,158.0,150000000.0,2.21,3,0,0,657.0,0.996680935
513170.0,5.9,41.0,7838.0,60000000.0,2.17,2,0,0,395.0,0.7147995517
467523.0,5.2,0,0,85000000.0,3.18,3,0,0,1072.0,0.9241723657
44856.0,7.6,0,8409.0,0,3.44,4,0,0,1153.0,0.9029712391
433096.0,6.5,247.0,33965.0,177200000.0,2.0,3,0,0,323.0,0.9400340884
192427.0,7.4,274.0,151.0,0,3.29,3,0,0,713.0,0.996680935
369235.0,6.4,224.0,0,110000000.0,2.63,3,0,0,77.0,0.7147995517
89313.0,7.6,0,98.0,0,4.15,4,782.0,782.0,190.0,0.7147995517
