bom_movie_name;bom_url;se_total_gross_usd
Star Wars: The Last Jedi;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=starwars8.htm;15830172
Beauty and the Beast (2017);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=beautyandthebeast2017.htm;7366642
Wonder Woman;N/A;N/A
Guardians of the Galaxy Vol. 2;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=marvel17a.htm;4499986
Spider-Man: Homecoming;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=spiderman2017.htm;3680062
It;N/A;N/A
Jumanji: Welcome to the Jungle;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=jumanji2016.htm;4280064
Thor: Ragnarok;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=marvel2017.htm;4539657
Despicable Me 3;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=despicableme3.htm;7446939
Justice League;N/A;N/A
Logan;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=wolverine2017.htm;2788129
The Fate of the Furious;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=furious8.htm;4155614
Coco;N/A;N/A
Dunkirk;N/A;N/A
The LEGO Batman Movie;N/A;N/A
Get Out;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=blumhouse2.htm;1156847
The Boss Baby;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=bossbaby.htm;2649317
Pirates of the Caribbean: Dead Men Tell No Tales;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=potc5.htm;7291991
Kong: Skull Island;N/A;N/A
Cars 3;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=cars3.htm;4032259
War for the Planet of the Apes;N/A;N/A
Split;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=split2017.htm;1253308
Transformers: The Last Knight;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=transformers5.htm;1796328
Wonder;N/A;N/A
Girls Trip;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=girltrip.htm;581777
Fifty Shades Darker;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=fiftyshadesdarker.htm;5379401
The Greatest Showman;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=greatestshowman.htm;553951
Baby Driver;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=babydriver.htm;1293830
Daddy's Home 2;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=daddyshome2.htm;476575
Murder on the Orient Express (2017);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=murderorientexpress17.htm;1476970
Annabelle: Creation;N/A;N/A
Pitch Perfect 3;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=pitchperfect3.htm;803715
Kingsman: The Golden Circle;N/A;N/A
John Wick: Chapter Two;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=johnwick2.htm;424132
Blade Runner 2049;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=bladerunnersequel.htm;3537973
The Emoji Movie;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=theemojimovie.htm;1818438
Power Rangers (2017);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=powerrangers16.htm;139741
The Mummy (2017);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=mummy2016.htm;1305968
Ferdinand;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=ferdinand.htm;3594319
The Hitman's Bodyguard;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=hitmansbodyguard.htm;860554
Alien: Covenant;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=alienparadiselost.htm;1461526
Captain Underpants: The First Epic Movie;N/A;N/A
A Bad Moms Christmas;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=badmomschristmas.htm;797885
A Dog's Purpose;N/A;N/A
The LEGO Ninjago Movie;N/A;N/A
Baywatch;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=baywatch.htm;1823642
The Shack;N/A;N/A
Happy Death Day;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=blumhousehorror2018.htm;506344
Atomic Blonde;N/A;N/A
American Made;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=mena.htm;1485179
The Dark Tower;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=darktower.htm;618551
Tyler Perry's Boo 2! A Madea Halloween;N/A;N/A
Snatched;N/A;N/A
The Post;N/A;N/A
The Great Wall;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=greatwall.htm;1026084
Smurfs: The Lost Village;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=smurfs3.htm;1440461
Going in Style (2017);N/A;N/A
All Eyez on Me;N/A;N/A
xXx: The Return of Xander Cage;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=xxx3.htm;1080403
47 Meters Down;N/A;N/A
The Big Sick;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=thebigsick.htm;124246
Valerian and the City of a Thousand Planets;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=valerian.htm;942450
Darkest Hour;N/A;N/A
The Star;N/A;N/A
Ghost in the Shell (2017);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=ghostintheshell2017.htm;970657
King Arthur: Legend of the Sword;N/A;N/A
Lady Bird;N/A;N/A
Jigsaw;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=saw2017.htm;789334
American Assassin;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=americanassassin.htm;540100
The Foreigner;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=theforeigner.htm;176000
Wind River;N/A;N/A
Geostorm;N/A;N/A
Monster Trucks;N/A;N/A
Three Billboards Outside Ebbing Missouri;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=threebillboards.htm;663097
Fist Fight;N/A;N/A
How to be a Latin Lover;N/A;N/A
Kidnap (2017);N/A;N/A
The Shape of Water;N/A;N/A
Underworld: Blood Wars;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=underworld5.htm;74756
The Mountain Between Us;N/A;N/A
Life (2017);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=life2017.htm;796279
The Nut Job 2: Nutty by Nature;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=nutjob2.htm;951243
Rings;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=rings.htm;480530
Logan Lucky;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=loganlucky.htm;109521
Home Again;N/A;N/A
Resident Evil: The Final Chapter;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=residentevil6.htm;267696
The House;N/A;N/A
Gifted;N/A;N/A
Molly's Game;N/A;N/A
Downsizing;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=downsizing.htm;352526
All the Money in the World;N/A;N/A
The Bye Bye Man;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=thebyebyeman.htm;114000
Victoria and Abdul;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=victoriaandabdul.htm;615825
Rough Night;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=rockthatbody.htm;316686
My Little Pony: The Movie;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=mylittlepony2017.htm;901609
Leap!;N/A;N/A
Sleepless;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=sleepless.htm;28408
The Disaster Artist;N/A;N/A
Diary of a Wimpy Kid: The Long Haul;N/A;N/A
The Circle (2017);N/A;N/A
Baahubali 2: The Conclusion;N/A;N/A
CHiPs;N/A;N/A
Only The Brave;N/A;N/A
mother!;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=mother2017.htm;182528
The Zookeeper's Wife;N/A;N/A
Father Figures;N/A;N/A
The Glass Castle;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=theglasscastle.htm;72258
Flatliners (2017);N/A;N/A
Detroit;N/A;N/A
The Case for Christ;N/A;N/A
Wish Upon;N/A;N/A
It Comes At Night;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=itcomesatnight.htm;294362
Born in China;N/A;N/A
Megan Leavey;N/A;N/A
The Founder;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=founder.htm;16193
Battle of the Sexes;N/A;N/A
Before I Fall;N/A;N/A
Unforgettable (2017);N/A;N/A
The Beguiled (2017);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=thebeguiled2017.htm;324676
The Belko Experiment;N/A;N/A
Marshall;N/A;N/A
Thank You for Your Service (2017);N/A;N/A
Rock Dog;N/A;N/A
Call Me by Your Name;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=callmebyyourname.htm;443587
The Lost City of Z;N/A;N/A
The Promise (2017);N/A;N/A
A Cure for Wellness;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=acureforwellness.htm;129724
