revenue,imdb_rating
5992286.0,7.4
2099748.0,7.3
1732438.0,7.7
1365779.0,7.5
1283868.0,7.9
1601982.0,6.3
1205843.0,8.1
2017790.0,6.7
1345430.0,8.5
354577.0,7.7
530026.0,6.3
1282219.0,6.6
1253655.0,6.8
277600.0,7.3
594874.0,5.2
77126.0,8.0
160036.0,6.3
1622542.0,4.6
553951.0,7.8
390098.0,7.7
154515.0,6.0
780238.0,6.6
247168.0,6.0
132975.0,7.5
1011653.0,8.1
506841.0,3.1
46275.0,6.0
455080.0,5.5
837300.0,6.5
354371.0,5.6
169670.0,6.5
370543.0,7.2
261819.0,5.7
338443.0,6.0
513170.0,5.9
467523.0,5.2
44856.0,7.6
433096.0,6.5
192427.0,7.4
369235.0,6.4
89313.0,7.6
227499.0,5.8
150796.0,6.2
278789.0,8.2
266980.0,7.5
45118.0,5.8
290559.0,6.6
142936.0,4.5
40810.0,7.1
126457.0,5.6
166777.0,5.7
102586.0,6.8
65036.0,5.2
385430.0,6.2
9820.0,5.6
64650.0,6.7
24339.0,7.1
6710.0,7.2
129724.0,6.4
369063.0,5.1
72411.0,7.7
1458.0,5.9
63809.0,6.8
11122.0,6.2
99592.0,7.3
3832.0,6.3
3205.0,6.9
3535653.0,7.8
1625198.0,7.3
1226378.0,6.5
1924377.0,7.5
1573886.0,8.0
1330108.0,8.0
540247.0,7.1
1289041.0,7.6
856746.0,7.5
1075059.0,6.6
395161.0,7.1
428997.0,6.5
588666.0,8.1
734400.0,7.1
279524.0,5.3
429056.0,6.3
1059161.0,5.2
350683.0,7.9
76788.0,6.2
223064.0,5.9
224552.0,7.1
640319.0,6.7
89482.0,6.0
223927.0,6.7
201107.0,6.5
437000.0,6.3
282716.0,5.7
278423.0,6.5
774981.0,5.7
158672.0,7.2
362143.0,6.2
390788.0,6.1
113675.0,6.4
65102.0,6.3
67076.0,5.8
824546.0,5.8
38112.0,7.3
367219.0,6.1
109458.0,7.8
1284953.0,6.9
390813.0,6.1
163288.0,6.0
225145.0,7.1
70260.0,6.6
95656.0,6.1
251538.0,5.2
834795.0,6.2
121633.0,6.3
99444.0,4.7
68196.0,4.8
835388.0,6.6
89230.0,5.0
4298.0,7.1
58651.0,6.3
111631.0,7.2
73198.0,7.5
1828.0,7.4
102134.0,6.2
169396.0,5.4
7825.0,7.2
15907.0,7.6
2924071.0,7.7
40931.0,7.2
544.0,5.5
870.0,6.4
560.0,6.5
12242.0,7.0
21863.0,7.2
13425.0,6.6
3945455.0,8.0
1573914.0,7.0
1617783.0,7.4
1092979.0,8.2
1382926.0,7.2
548481.0,6.4
480089.0,6.9
2815877.0,6.8
889100.0,7.4
228020.0,6.4
911530.0,8.0
547623.0,7.3
534341.0,6.7
544666.0,6.7
2696028.0,4.1
242947.0,6.0
267029.0,7.9
408882.0,6.1
599811.0,8.1
580867.0,6.2
384910.0,7.1
501633.0,7.7
333327.0,7.0
57133.0,6.2
88580.0,7.6
181447.0,6.5
354708.0,6.5
751955.0,6.0
841197.0,5.1
630450.0,6.3
322627.0,6.3
153417.0,5.6
509781.0,7.2
194870.0,7.6
51497.0,4.4
187336.0,7.8
231372.0,5.6
116936.0,6.7
240896.0,6.9
145540.0,6.1
211384.0,6.6
228588.0,4.3
638973.0,7.8
309065.0,6.6
80731.0,7.4
123861.0,6.1
63677.0,4.9
254331.0,5.3
141363.0,7.6
138833.0,7.3
44590.0,8.1
357685.0,7.1
74703.0,6.4
11975.0,7.2
51748.0,7.5
27152.0,5.1
48913.0,6.5
63031.0,7.3
138021.0,6.6
217398.0,8.5
175150.0,6.8
236615.0,6.5
143554.0,5.3
78394.0,5.3
60240.0,6.8
45133.0,5.9
204528.0,6.6
177642.0,5.7
36940.0,8.2
261520.0,7.4
62349.0,7.5
50045.0,7.2
78043.0,5.5
31033.0,5.2
43872.0,8.2
121277.0,7.2
6869.0,7.4
12841.0,7.1
166258.0,7.1
92942.0,7.3
46121.0,7.8
53701.0,5.4
62682.0,6.3
11149.0,6.7
4652.0,6.3
147770.0,6.9
56630.0,7.1
6586.0,5.9
56563.0,7.0
21252.0,7.3
11833.0,6.9
25482.0,7.2
106954.0,6.5
7226.0,6.4
2928284.0,7.1
11391.0,7.3
10013.0,6.3
5853.0,6.7
9743.0,5.2
184075.0,7.0
11795.0,6.2
8562.0,7.1
22219.0,6.7
15801.0,8.3
16229.0,6.1
46220.0,6.7
37218.0,5.4
45119.0,7.2
11401.0,7.4
592376.0,7.3
2479542.0,6.7
1203350.0,8.1
662301.0,7.8
