bom_movie_name;swedish_page_link;swedish_gross
American Sniper;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=americansniper.htm;1886983
The Hunger Games: Mockingjay - Part 1;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=hungergames3.htm;9389935
Guardians of the Galaxy;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=marvel2014a.htm;5270506
Captain America: The Winter Soldier;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=marvel14b.htm;2123252
The LEGO Movie;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=lego.htm;2512566
The Hobbit: The Battle of the Five Armies;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=hobbit3.htm;13853550
Transformers: Age of Extinction;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=transformers4.htm;3069497
Maleficent;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=maleficient.htm;3079628
X-Men: Days of Future Past;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=xmen2014.htm;3581809
Big Hero 6;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=disney2014.htm;3478537
Dawn of the Planet of the Apes;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=dawnoftheapes.htm;4153409
The Amazing Spider-Man 2;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=amazingspiderman2.htm;2833430
Godzilla (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=godzilla2012.htm;2438973
22 Jump Street;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=21jumpstreet2.htm;3471759
Teenage Mutant Ninja Turtles (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=tmnt2013.htm;1652941
Interstellar;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=interstellar.htm;3703070
How to Train Your Dragon 2;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=howtotrainyourdragon2.htm;5338090
Gone Girl;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=gonegirl.htm;3426069
Divergent;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=divergent.htm;1946109
Neighbors;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=townies.htm;1561436
Ride Along;N/A;N/A
Rio 2;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=rio2.htm;3536237
Into the Woods;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=intothewoods.htm;272836
Lucy;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=lucy.htm;1744506
The Fault in our Stars;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=faultinourstars.htm;2597479
Unbroken;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=unbroken.htm;1170385
Night at the Museum: Secret of the Tomb;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=nightatthemuseum3.htm;1021151
Mr. Peabody & Sherman;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=mrpeabodyandsherman.htm;1729667
300: Rise of An Empire;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=300sequel.htm;1754438
The Maze Runner;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=mazerunner.htm;2576081
The Equalizer;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=equalizer.htm;1151990
Noah;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=noah.htm;2249363
Edge of Tomorrow;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=allyouneediskill.htm;1718606
Non-Stop;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=nonstop.htm;971939
Heaven is for Real;N/A;N/A
The Imitation Game;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=imitationgame.htm;1933338
Dumb and Dumber To;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=dumberto.htm;1495497
Annie (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=annie2014.htm;663567
Fury (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=fury2014.htm;2077890
Tammy;N/A;N/A
Annabelle;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=newlinehorror.htm;1944680
The Other Woman (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=otherwoman14.htm;2439385
Penguins of Madagascar;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=penguinsofmadagascar.htm;2287101
Let's Be Cops;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=letsbecops.htm;2108368
The Monuments Men;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=monumentsmen.htm;1223052
Hercules (2014);http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=hercules2014.htm;589873
The Purge: Anarchy;http://www.boxofficemojo.com/movies/?page=intl&country=SE&id=purge2.htm;319993
