bom_movie_name;bom_foreign_url;foreign_opening_weekend;foreign_total_gross;n_countries;swedish_opening_weekend_gross;swedish_opening_weekend_date
Marvel's The Avengers;http://www.boxofficemojo.com/movies/?page=intl&id=avengers11.htm;185100000;895455078;59;2288528;4/27/12
The Dark Knight Rises;http://www.boxofficemojo.com/movies/?page=intl&id=batman3.htm;88000000;636800000;55;2081565;7/25/12
The Hunger Games;http://www.boxofficemojo.com/movies/?page=intl&id=hungergames.htm;59250000;286384032;52;1331296;3/23/12
Skyfall;http://www.boxofficemojo.com/movies/?page=intl&id=bond23.htm;83048496;804200736;57;2878058;10/26/12
The Hobbit: An Unexpected Journey;http://www.boxofficemojo.com/movies/?page=intl&id=hobbit.htm;138000000;718100000;55;3905089;12/12/12
The Twilight Saga: Breaking Dawn Part 2;http://www.boxofficemojo.com/movies/?page=intl&id=breakingdawn2.htm;199500000;537422083;52;2312287;11/14/12
The Amazing Spider-Man;http://www.boxofficemojo.com/movies/?page=intl&id=spiderman4.htm;51137642;495900000;57;1163265;7/3/12
Brave;http://www.boxofficemojo.com/movies/?page=intl&id=bearandthebow.htm;13500000;303153856;54;1507098;8/31/12
Ted;http://www.boxofficemojo.com/movies/?page=intl&id=ted.htm;15548221;330552828;54;697034;10/3/12
Madagascar 3: Europe's Most Wanted;http://www.boxofficemojo.com/movies/?page=intl&id=madagascar3.htm;77284107;530529792;55;712277;8/1/12
Dr. Seuss' The Lorax;http://www.boxofficemojo.com/movies/?page=intl&id=lorax.htm;363916;134809816;55;192097;3/23/12
Wreck-It Ralph;http://www.boxofficemojo.com/movies/?page=intl&id=rebootralph.htm;12000000;281800000;54;109640;2/8/13
Lincoln;http://www.boxofficemojo.com/movies/?page=intl&id=lincoln.htm;2872419;93085477;51;99206;1/25/13
MIB 3;http://www.boxofficemojo.com/movies/?page=intl&id=mib3.htm;135292166;445005922;57;470943;5/23/12
Django Unchained;http://www.boxofficemojo.com/movies/?page=intl&id=djangounchained.htm;49379117;262562804;56;1169193;1/18/13
Ice Age: Continental Drift;http://www.boxofficemojo.com/movies/?page=intl&id=iceage4.htm;80305541;715922939;55;1284411;6/27/12
Snow White and the Huntsman;http://www.boxofficemojo.com/movies/?page=intl&id=snowwhiteandthehuntsman.htm;39300000;241260448;54;685150;6/8/12
Les Miserables (2012);http://www.boxofficemojo.com/movies/?page=intl&id=lesmiserables2012.htm;4200000;293000000;55;562617;1/18/13
Hotel Transylvania;http://www.boxofficemojo.com/movies/?page=intl&id=hoteltransylvania.htm;N/A;210062555;57;618972;10/19/12
Taken 2;http://www.boxofficemojo.com/movies/?page=intl&id=taken2.htm;6360629;236287019;52;410840;10/5/12
21 Jump Street;http://www.boxofficemojo.com/movies/?page=intl&id=21jumpstreet.htm;7170723;63137661;48;167560;4/20/12
Argo;http://www.boxofficemojo.com/movies/?page=intl&id=argo.htm;N/A;96300000;51;255994;11/23/12
Silver Linings Playbook;http://www.boxofficemojo.com/movies/?page=intl&id=silverliningsplaybook.htm;3352769;104319495;47;N/A;2/22/13
Prometheus;http://www.boxofficemojo.com/movies/?page=intl&id=prometheus.htm;34762863;276877385;55;1804827;6/1/12
Safe House;http://www.boxofficemojo.com/movies/?page=intl&id=safehouse.htm;10069927;81702771;53;324014;2/17/12
The Vow;http://www.boxofficemojo.com/movies/?page=intl&id=vow.htm;10287847;71100540;51;124655;5/4/12
Life of Pi;http://www.boxofficemojo.com/movies/?page=intl&id=lifeofpi.htm;23483856;484029542;55;604439;12/21/12
Magic Mike;http://www.boxofficemojo.com/movies/?page=intl&id=magicmike.htm;N/A;53500000;36;69940;8/15/12
The Bourne Legacy;http://www.boxofficemojo.com/movies/?page=intl&id=bourne4.htm;7664449;162940880;55;416689;8/29/12
Journey 2: The Mysterious Island;http://www.boxofficemojo.com/movies/?page=intl&id=journey2.htm;7900000;231400000;53;326245;2/29/12
Rise of the Guardians;http://www.boxofficemojo.com/movies/?page=intl&id=guardians.htm;2883167;203528912;53;361441;11/30/12
Zero Dark Thirty;http://www.boxofficemojo.com/movies/?page=intl&id=binladen.htm;1318703;37100000;47;160532;2/1/13
Flight;http://www.boxofficemojo.com/movies/?page=intl&id=flight.htm;750831;68000000;49;207261;1/25/13
Think Like a Man;http://www.boxofficemojo.com/movies/?page=intl&id=thinklikeaman.htm;316878;4523302;12;N/A;N/A
The Campaign;http://www.boxofficemojo.com/movies/?page=intl&id=rivals.htm;2100000;18000000;35;105011;9/14/12
The Expendables 2;http://www.boxofficemojo.com/movies/?page=intl&id=expendables2.htm;22400000;229947763;48;366471;8/22/12
Wrath of the Titans;http://www.boxofficemojo.com/movies/?page=intl&id=clashofthetitans2.htm;76100000;221600000;52;418046;3/30/12
Jack Reacher;http://www.boxofficemojo.com/movies/?page=intl&id=oneshot.htm;2500000;138269859;54;646148;1/4/13
Dark Shadows;http://www.boxofficemojo.com/movies/?page=intl&id=darkshadows.htm;37300000;165800000;53;599289;5/11/12
Parental Guidance;http://www.boxofficemojo.com/movies/?page=intl&id=parentalguidance.htm;6596731;42504936;31;N/A;N/A
John Carter;http://www.boxofficemojo.com/movies/?page=intl&id=johncarterofmars.htm;70600000;211061000;52;526701;3/9/12
Act of Valor;http://www.boxofficemojo.com/movies/?page=intl&id=actofvalor.htm;N/A;11259919;28;N/A;N/A
This Is 40;http://www.boxofficemojo.com/movies/?page=intl&id=apatow.htm;N/A;20514281;30;N/A;3/1/13
Contraband;http://www.boxofficemojo.com/movies/?page=intl&id=contraband.htm;1429886;29734212;46;N/A;N/A
Looper;http://www.boxofficemojo.com/movies/?page=intl&id=loopers.htm;N/A;110020614;48;223365;9/28/12
Tyler Perry's Madea's Witness Protection;http://www.boxofficemojo.com/movies/?page=intl&id=madeaswitnessprotection.htm;N/A;1246000;3;N/A;N/A
Battleship;http://www.boxofficemojo.com/movies/?page=intl&id=battleship.htm;55200000;237602860;56;527884;4/11/12
Pitch Perfect;http://www.boxofficemojo.com/movies/?page=intl&id=pitchperfect.htm;457459;50349333;37;65478;2/8/13
Mirror Mirror;http://www.boxofficemojo.com/movies/?page=intl&id=untitledsnowwhite.htm;5775654;118083355;49;51038;3/30/12
Chronicle (2012);http://www.boxofficemojo.com/movies/?page=intl&id=chronicle2012.htm;12676876;62060922;49;150495;2/15/12
Hope Springs;http://www.boxofficemojo.com/movies/?page=intl&id=greathopesprings.htm;N/A;50745040;47;106213;9/7/12
Underworld Awakening;http://www.boxofficemojo.com/movies/?page=intl&id=underworld4.htm;15726201;97791632;50;79897;3/16/12
The Lucky One;http://www.boxofficemojo.com/movies/?page=intl&id=luckyone.htm;3700000;38900000;40;145330;4/27/12
The Dictator;http://www.boxofficemojo.com/movies/?page=intl&id=dictator.htm;30863246;119729311;49;549699;5/16/12
Total Recall (2012);http://www.boxofficemojo.com/movies/?page=intl&id=totalrecall2012.htm;6169054;139589199;56;237452;8/8/12
Titanic 3D;http://www.boxofficemojo.com/movies/?page=intl&id=titanic3d.htm;35200000;285666656;55;349558;4/4/12
American Reunion;http://www.boxofficemojo.com/movies/?page=intl&id=americanreunion.htm;19800000;177978063;50;643923;4/4/12
ParaNorman;http://www.boxofficemojo.com/movies/?page=intl&id=paranorman.htm;2251001;51136348;45;101787;9/21/12
This Means War;http://www.boxofficemojo.com/movies/?page=intl&id=thismeanwar.htm;11016552;101730488;52;319790;2/24/12
Project X;http://www.boxofficemojo.com/movies/?page=intl&id=projectx2011.htm;2800000;48000000;41;173515;4/20/12
The Woman in Black;http://www.boxofficemojo.com/movies/?page=intl&id=womaninblack.htm;7800000;73397446;46;45734;4/27/12
Paranormal Activity 4;http://www.boxofficemojo.com/movies/?page=intl&id=paranormalactivity4.htm;26352493;88917657;47;440183;10/19/12
The Devil Inside;http://www.boxofficemojo.com/movies/?page=intl&id=devilinside.htm;201943;48496546;44;118102;3/2/12
The Odd Life of Timothy Green;http://www.boxofficemojo.com/movies/?page=intl&id=oddlifeoftimothygreen.htm;N/A;4157767;9;N/A;N/A
Ghost Rider: Spirit of Vengeance;http://www.boxofficemojo.com/movies/?page=intl&id=ghostrider2.htm;15800000;80789928;48;N/A;N/A
The Grey;http://www.boxofficemojo.com/movies/?page=intl&id=grey.htm;3054913;25698095;42;N/A;N/A
Red Tails;http://www.boxofficemojo.com/movies/?page=intl&id=redtails.htm;N/A;N/A;N/A;N/A;N/A
The Possession;http://www.boxofficemojo.com/movies/?page=intl&id=dibbukbox.htm;5031900;36315921;33;N/A;N/A
Diary of a Wimpy Kid: Dog Days;http://www.boxofficemojo.com/movies/?page=intl&id=diaryofawimpykid3.htm;2507934;28103514;13;N/A;N/A
Sinister;http://www.boxofficemojo.com/movies/?page=intl&id=sinister.htm;2317026;29625536;39;78373;11/30/12
Beauty and the Beast (3D);http://www.boxofficemojo.com/movies/?page=intl&id=beautyandthebeast3d.htm;16965;14410056;35;N/A;N/A
Savages (2012);http://www.boxofficemojo.com/movies/?page=intl&id=savages12.htm;1000000;35584084;49;209179;10/12/12
The Best Exotic Marigold Hotel;http://www.boxofficemojo.com/movies/?page=intl&id=bestexoticmarigoldhotel.htm;3494891;90424115;43;129447;3/23/12
Moonrise Kingdom;http://www.boxofficemojo.com/movies/?page=intl&id=moonrisekingdom.htm;1418388;22750700;41;75584;6/6/12
Here Comes the Boom;http://www.boxofficemojo.com/movies/?page=intl&id=herecomestheboom.htm;245702;27809854;27;N/A;N/A
Red Dawn (2012);http://www.boxofficemojo.com/movies/?page=intl&id=reddawn10.htm;N/A;N/A;21;N/A;N/A
The Three Stooges;http://www.boxofficemojo.com/movies/?page=intl&id=threestooges.htm;N/A;10481077;18;N/A;N/A
