bom_movie_name;bom_url;mpaa_rating;production_budget_usd;total_gross_usa_usd;opening_weekend_us
Marvel's The Avengers;http://www.boxofficemojo.com/movies/?id=avengers11.htm;PG-13;220000000;623357910;207438708
The Dark Knight Rises;http://www.boxofficemojo.com/movies/?id=batman3.htm;PG-13;250000000;448139099;160887295
The Hunger Games;http://www.boxofficemojo.com/movies/?id=hungergames.htm;PG-13;78000000;408010692;152535747
Skyfall;http://www.boxofficemojo.com/movies/?id=bond23.htm;PG-13;200000000;304360277;88364714
The Hobbit: An Unexpected Journey;http://www.boxofficemojo.com/movies/?id=hobbit.htm;PG-13;N/A;303003568;84617303
The Twilight Saga: Breaking Dawn Part 2;http://www.boxofficemojo.com/movies/?id=breakingdawn2.htm;PG-13;120000000;292324737;141067634
The Amazing Spider-Man;http://www.boxofficemojo.com/movies/?id=spiderman4.htm;PG-13;230000000;262030663;62004688
Brave;http://www.boxofficemojo.com/movies/?id=bearandthebow.htm;PG;185000000;237283207;66323594
Ted;http://www.boxofficemojo.com/movies/?id=ted.htm;R;50000000;218815487;54415205
Madagascar 3: Europe's Most Wanted;http://www.boxofficemojo.com/movies/?id=madagascar3.htm;PG;145000000;216391482;60316738
Dr. Seuss' The Lorax;http://www.boxofficemojo.com/movies/?id=lorax.htm;PG;70000000;214030500;70217070
Wreck-It Ralph;http://www.boxofficemojo.com/movies/?id=rebootralph.htm;PG;165000000;189422889;49038712
Lincoln;http://www.boxofficemojo.com/movies/?id=lincoln.htm;PG-13;65000000;182207973;21049406
MIB 3;http://www.boxofficemojo.com/movies/?id=mib3.htm;PG-13;225000000;179020854;54592779
Django Unchained;http://www.boxofficemojo.com/movies/?id=djangounchained.htm;R;100000000;162805434;30122888
Ice Age: Continental Drift;http://www.boxofficemojo.com/movies/?id=iceage4.htm;PG;95000000;161321843;46629259
Snow White and the Huntsman;http://www.boxofficemojo.com/movies/?id=snowwhiteandthehuntsman.htm;PG-13;170000000;155332381;56217700
Les Miserables (2012);http://www.boxofficemojo.com/movies/?id=lesmiserables2012.htm;PG-13;61000000;148809770;27281735
Hotel Transylvania;http://www.boxofficemojo.com/movies/?id=hoteltransylvania.htm;PG;85000000;148313048;42522194
Taken 2;http://www.boxofficemojo.com/movies/?id=taken2.htm;PG-13;45000000;139854287;49514769
21 Jump Street;http://www.boxofficemojo.com/movies/?id=21jumpstreet.htm;R;42000000;138447667;36302612
Argo;http://www.boxofficemojo.com/movies/?id=argo.htm;R;44500000;136025503;19458109
Silver Linings Playbook;http://www.boxofficemojo.com/movies/?id=silverliningsplaybook.htm;R;21000000;132092958;4079314
Prometheus;http://www.boxofficemojo.com/movies/?id=prometheus.htm;R;130000000;126477084;51050101
Safe House;http://www.boxofficemojo.com/movies/?id=safehouse.htm;R;85000000;126373434;40172720
The Vow;http://www.boxofficemojo.com/movies/?id=vow.htm;PG-13;30000000;125014030;41202458
Life of Pi;http://www.boxofficemojo.com/movies/?id=lifeofpi.htm;PG;120000000;124987023;22451514
Magic Mike;http://www.boxofficemojo.com/movies/?id=magicmike.htm;R;7000000;113721571;39127170
The Bourne Legacy;http://www.boxofficemojo.com/movies/?id=bourne4.htm;PG-13;125000000;113203870;38142825
Journey 2: The Mysterious Island;http://www.boxofficemojo.com/movies/?id=journey2.htm;PG;79000000;103860290;27335363
Rise of the Guardians;http://www.boxofficemojo.com/movies/?id=guardians.htm;PG;145000000;103412758;23773465
Zero Dark Thirty;http://www.boxofficemojo.com/movies/?id=binladen.htm;R;40000000;95720716;24438936
Flight;http://www.boxofficemojo.com/movies/?id=flight.htm;R;31000000;93772375;24900566
Think Like a Man;http://www.boxofficemojo.com/movies/?id=thinklikeaman.htm;PG-13;12000000;91547205;33636303
The Campaign;http://www.boxofficemojo.com/movies/?id=rivals.htm;R;N/A;86907746;26588460
The Expendables 2;http://www.boxofficemojo.com/movies/?id=expendables2.htm;R;100000000;85028192;28591370
Wrath of the Titans;http://www.boxofficemojo.com/movies/?id=clashofthetitans2.htm;PG-13;150000000;83670083;33457188
Jack Reacher;http://www.boxofficemojo.com/movies/?id=oneshot.htm;PG-13;60000000;80070736;15210156
Dark Shadows;http://www.boxofficemojo.com/movies/?id=darkshadows.htm;PG-13;150000000;79727149;29685274
Parental Guidance;http://www.boxofficemojo.com/movies/?id=parentalguidance.htm;PG;25000000;77267296;14554053
John Carter;http://www.boxofficemojo.com/movies/?id=johncarterofmars.htm;PG-13;250000000;73078100;30180188
Act of Valor;http://www.boxofficemojo.com/movies/?id=actofvalor.htm;R;12000000;70012847;24476632
This Is 40;http://www.boxofficemojo.com/movies/?id=apatow.htm;R;35000000;67544505;11579175
Contraband;http://www.boxofficemojo.com/movies/?id=contraband.htm;R;25000000;66528000;24349815
Looper;http://www.boxofficemojo.com/movies/?id=loopers.htm;R;30000000;66486205;20801552
Tyler Perry's Madea's Witness Protection;http://www.boxofficemojo.com/movies/?id=madeaswitnessprotection.htm;PG-13;20000000;65653242;25390575
Battleship;http://www.boxofficemojo.com/movies/?id=battleship.htm;PG-13;209000000;65422625;25534825
Pitch Perfect;http://www.boxofficemojo.com/movies/?id=pitchperfect.htm;PG-13;17000000;65001093;14846830
Mirror Mirror;http://www.boxofficemojo.com/movies/?id=untitledsnowwhite.htm;PG;85000000;64935167;18132085
Chronicle (2012);http://www.boxofficemojo.com/movies/?id=chronicle2012.htm;PG-13;12000000;64575175;22004098
Hope Springs;http://www.boxofficemojo.com/movies/?id=greathopesprings.htm;PG-13;N/A;63536011;14650121
Underworld Awakening;http://www.boxofficemojo.com/movies/?id=underworld4.htm;R;70000000;62321039;25306725
The Lucky One;http://www.boxofficemojo.com/movies/?id=luckyone.htm;PG-13;N/A;60457138;22518358
The Dictator;http://www.boxofficemojo.com/movies/?id=dictator.htm;R;65000000;59650222;17435092
Total Recall (2012);http://www.boxofficemojo.com/movies/?id=totalrecall2012.htm;PG-13;125000000;58877969;25577758
Titanic 3D;http://www.boxofficemojo.com/movies/?id=titanic3d.htm;PG-13;18000000;57884114;17285453
American Reunion;http://www.boxofficemojo.com/movies/?id=americanreunion.htm;R;50000000;57011521;21514080
ParaNorman;http://www.boxofficemojo.com/movies/?id=paranorman.htm;PG;60000000;56003051;14087050
This Means War;http://www.boxofficemojo.com/movies/?id=thismeanwar.htm;PG-13;65000000;54760791;17405930
Project X;http://www.boxofficemojo.com/movies/?id=projectx2011.htm;R;N/A;54731865;21051363
The Woman in Black;http://www.boxofficemojo.com/movies/?id=womaninblack.htm;PG-13;N/A;54333290;20874072
Paranormal Activity 4;http://www.boxofficemojo.com/movies/?id=paranormalactivity4.htm;R;5000000;53900335;29003866
The Devil Inside;http://www.boxofficemojo.com/movies/?id=devilinside.htm;R;1000000;53261944;33732515
The Odd Life of Timothy Green;http://www.boxofficemojo.com/movies/?id=oddlifeoftimothygreen.htm;PG;N/A;51854875;10822903
Ghost Rider: Spirit of Vengeance;http://www.boxofficemojo.com/movies/?id=ghostrider2.htm;PG-13;57000000;51774002;22115334
The Grey;http://www.boxofficemojo.com/movies/?id=grey.htm;R;25000000;51580236;19665101
Red Tails;http://www.boxofficemojo.com/movies/?id=redtails.htm;PG-13;58000000;49876377;18782154
The Possession;http://www.boxofficemojo.com/movies/?id=dibbukbox.htm;PG-13;14000000;49130154;17732480
Diary of a Wimpy Kid: Dog Days;http://www.boxofficemojo.com/movies/?id=diaryofawimpykid3.htm;PG;22000000;49008662;14623599
Sinister;http://www.boxofficemojo.com/movies/?id=sinister.htm;R;3000000;48086903;18007634
Beauty and the Beast (3D);http://www.boxofficemojo.com/movies/?id=beautyandthebeast3d.htm;G;N/A;47617067;17751905
Savages (2012);http://www.boxofficemojo.com/movies/?id=savages12.htm;R;45000000;47382068;16016910
The Best Exotic Marigold Hotel;http://www.boxofficemojo.com/movies/?id=bestexoticmarigoldhotel.htm;PG-13;10000000;46412041;6383203
Moonrise Kingdom;http://www.boxofficemojo.com/movies/?id=moonrisekingdom.htm;PG-13;16000000;45512466;4926837
Here Comes the Boom;http://www.boxofficemojo.com/movies/?id=herecomestheboom.htm;PG;N/A;45290318;11816596
Red Dawn (2012);http://www.boxofficemojo.com/movies/?id=reddawn10.htm;PG-13;65000000;44806783;14276668
The Three Stooges;http://www.boxofficemojo.com/movies/?id=threestooges.htm;PG;30000000;44338224;17010125
Star Wars: Episode I - The Phantom Menace (in 3D);http://www.boxofficemojo.com/movies/?id=starwars3d.htm;PG;N/A;43456382;22469932
Resident Evil: Retribution;http://www.boxofficemojo.com/movies/?id=residentevil5.htm;R;65000000;42345531;21052227
The Cabin in the Woods;http://www.boxofficemojo.com/movies/?id=cabininthewoods.htm;R;N/A;42073277;14743614
What to Expect When You're Expecting;http://www.boxofficemojo.com/movies/?id=whattoexpect.htm;PG-13;40000000;41152203;10547068
Finding Nemo (3D);http://www.boxofficemojo.com/movies/?id=findingnemo3d.htm;G;N/A;41128283;16687773
End of Watch;http://www.boxofficemojo.com/movies/?id=endofwatch.htm;R;7000000;41003371;13152683
Rock of Ages;http://www.boxofficemojo.com/movies/?id=rockofages.htm;PG-13;75000000;38518613;14437269
Abraham Lincoln: Vampire Hunter;http://www.boxofficemojo.com/movies/?id=abrahamlincolnvampirehunter.htm;R;69000000;37519139;16306974
Lawless;http://www.boxofficemojo.com/movies/?id=wettestcountry.htm;R;N/A;37400127;10001982
The Guilt Trip;http://www.boxofficemojo.com/movies/?id=mymotherscurse.htm;PG-13;40000000;37134215;5290629
That's My Boy;http://www.boxofficemojo.com/movies/?id=ihateyoudad.htm;R;70000000;36931089;13453714
Trouble with the Curve;http://www.boxofficemojo.com/movies/?id=troublewiththecurve.htm;PG-13;N/A;35763137;12162040
